Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
39	0.75519085	0.22814251	1.0110897	0.71373945	1.5056323	-0.35299528	13.934783	0.7336765	0.32916516	1.4749534	-0.6275104	320000	7.450581e-09	0.13547194	-0.032904007	-0.087767825	1.9187081	0.015051329	0.17912501	56.0	45.50372266769409
40	0.65103686	0.2820733	0.8494799	0.77472484	1.5120255	-0.44057047	14.4375	0.8241192	0.29643038	1.432479	-0.58507013	328000	5.5879354e-09	0.20952718	-0.025056262	-0.13002405	1.9591268	0.015078866	0.159875	29.0	46.5487585067749
41	0.67443836	0.28643793	0.9024153	0.7584469	1.4970523	-0.63046104	14.194445	0.74066615	0.32636666	1.884453	-0.4273064	336000	-6.519258e-09	0.21673276	-0.027918277	-0.13245012	1.9017626	0.015177559	0.155625	40.0	47.55297040939331
42	0.66374886	0.32195377	0.8724998	0.77421474	1.5189213	-0.37478817	13.263514	0.73667085	0.31476438	1.3472987	-0.4522171	344000	3.259629e-09	0.14156836	-0.029007386	-0.08574778	1.891437	0.015045338	0.161625	53.0	48.63211154937744
43	0.7242721	0.23462518	0.97105056	0.7320511	1.5195243	-0.4660376	14.327778	0.82600397	0.31932536	1.4444402	-0.4695842	352000	-1.8626451e-09	0.16640422	-0.030679714	-0.10018064	1.858994	0.015069144	0.17337501	51.0	49.66957640647888
44	0.7691171	0.21473706	1.0416166	0.6997027	1.5166051	-0.3683994	14.255515	0.75874645	0.3232811	1.358617	-0.41092813	360000	0.0	0.13239542	-0.036504235	-0.08905958	1.8864555	0.013733047	0.199	79.0	50.85036635398865
45	0.72355145	0.22656089	0.98989767	0.71823823	1.5239267	-0.44040614	14.146739	0.8585486	0.28503153	1.4313486	-0.44121355	368000	1.8626451e-09	0.1619376	-0.027622173	-0.08858157	1.8354169	0.015152062	0.161625	37.0	51.83796453475952
46	0.724262	0.260113	0.97102433	0.73358613	1.5087128	-0.43477413	14.080292	0.8100464	0.29433024	1.4073552	-0.755678	376000	7.450581e-09	0.12920982	-0.035019457	-0.07091526	1.8406373	0.013897462	0.192125	79.0	53.01611614227295
47	0.65944487	0.32666624	0.8865813	0.7663804	1.5180088	-0.4101154	13.255137	0.79269224	0.31138155	1.3955271	-0.91259605	384000	-1.1641532e-09	0.17399499	-0.03499934	-0.098470435	1.8346524	0.013881844	0.204125	79.0	54.483219385147095
48	0.75658965	0.21302836	1.0337775	0.7267235	1.5203214	-0.4831472	13.9361315	0.8011093	0.31761226	1.4680138	-0.53987116	392000	0.0	0.14732571	-0.037468653	-0.094438106	1.7923355	0.011034602	0.194625	79.0	55.713088274002075
49	0.8045666	0.18848899	1.117402	0.66374886	1.5375894	-0.40199035	13.646127	0.8175769	0.3383169	1.373792	-0.629882	400000	9.313226e-10	0.0966025	-0.035232186	-0.060797635	1.7826631	0.014974352	0.191625	79.0	57.024741411209106
50	0.76470196	0.22794507	1.0445865	0.72864807	1.5314119	-0.49003217	13.289116	0.89117175	0.27047375	1.4040353	-0.6950168	408000	0.0	0.115611136	-0.03554547	-0.07662651	1.7687229	0.0111779235	0.218375	79.0	58.18848919868469
51	0.7740798	0.20386137	1.0701253	0.7000254	1.5267546	-0.43817675	13.83688	0.8318479	0.33941132	1.380038	-0.60620797	416000	-7.450581e-09	0.11943959	-0.036923327	-0.06779428	1.7579656	0.010883149	0.20899999	79.0	59.39041757583618
52	0.6453914	0.31866089	0.86066926	0.7913871	1.525008	-0.4637135	12.855704	0.8137638	0.36862278	1.3738362	-1.0782903	424000	-3.7252903e-09	0.17016731	-0.033776067	-0.1014771	1.7837721	0.015030588	0.1915	53.0	60.43739676475525
53	0.69831014	0.25824413	0.956388	0.7566425	1.518809	-0.51155156	13.614436	0.79377806	0.3673105	1.4342641	-0.62442505	432000	3.7252903e-09	0.19339067	-0.038802914	-0.12708324	1.7470409	0.015037689	0.215125	79.0	61.614871978759766
54	0.70995224	0.2617674	0.96583164	0.7561207	1.5261718	-0.6112481	13.340278	0.7923888	0.33002755	1.5443819	-0.5372548	440000	2.7939677e-09	0.16746765	-0.03627572	-0.11866005	1.7362189	0.0131201	0.21375	79.0	62.765146017074585
55	0.67259455	0.32740545	0.89059484	0.8000234	1.5497962	-0.54764026	11.862122	0.80610144	0.39365003	1.528247	-0.7234322	448000	0.0	0.1435429	-0.0356424	-0.08360203	1.7274017	0.015061723	0.21987501	71.0	63.92865562438965
56	0.72177345	0.26383513	0.9796743	0.74414533	1.5393428	-0.4713935	13.229591	0.7799984	0.3653468	1.4236429	-0.783397	456000	3.7252903e-09	0.14463937	-0.034831125	-0.09434581	1.7296536	0.014545121	0.18225001	79.0	65.19301509857178
57	0.6545974	0.31601268	0.87376136	0.7936777	1.5190465	-0.58131105	12.899671	0.8349911	0.32278773	1.569337	-0.5524117	464000	-9.313226e-10	0.1800428	-0.03256588	-0.11292139	1.7180604	0.015119571	0.18450001	49.0	66.2467041015625
