Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
51	0.52688587	0.3852764	0.6849244	0.7869926	1.5197895	-0.36178234	13.766115	0.5919569	0.31236002	1.3970804	-0.43699077	1664000	1.5668571e-05	0.2243073	0.018393582	-0.011886993	-0.05355631	1.8127062	0.0075911274	0.0894375	79.0	1456.889503479004
52	0.5272132	0.40125334	0.6841639	0.78704256	1.5197078	-0.30896404	13.432741	0.5925785	0.3056753	1.3597654	-0.4075436	1696000	-6.3520856e-06	0.23178652	0.01834014	-0.011777312	-0.061966475	1.8050147	0.0074635977	0.0846875	79.0	1486.2471623420715
53	0.61884373	0.2866404	0.8376578	0.75498444	1.5459965	-0.3479808	15.082218	0.6071296	0.29360408	1.3955684	-0.4876467	1728000	-2.9289164e-05	0.21860239	0.018531788	-0.012558447	-0.06786524	1.8234185	0.009961119	0.092125	79.0	1515.7190544605255
54	0.6280378	0.28103617	0.8571238	0.75457084	1.5277295	-0.34464398	14.974154	0.66484594	0.28994215	1.5179826	-0.5082343	1760000	-8.478062e-05	0.21591787	0.01820164	-0.011758044	-0.06886024	1.7897663	0.007102398	0.073375	79.0	1545.0420236587524
55	0.6012074	0.30855173	0.80874765	0.7684201	1.5224165	-0.40420336	14.538004	0.6284413	0.31205773	1.4124804	-0.6116896	1792000	9.882264e-06	0.2036491	0.01810274	-0.012368292	-0.06552526	1.7783468	0.006959436	0.08471875	79.0	1574.4361276626587
56	0.5632657	0.34650308	0.75174373	0.78412485	1.5301074	-0.35183525	13.978395	0.5738142	0.32011372	1.5245297	-0.50151265	1824000	-1.50464475e-05	0.21158868	0.01805421	-0.012513693	-0.06156602	1.7725468	0.007781713	0.082687505	79.0	1603.9684383869171
57	0.54055	0.36305094	0.7059869	0.7948983	1.5172395	-0.34358528	13.942105	0.59495497	0.33722538	1.4601502	-0.68492365	1856000	-4.7399197e-05	0.22042713	0.018239208	-0.011583898	-0.07588007	1.7942181	0.008050308	0.087	79.0	1633.4649441242218
58	0.5984005	0.3301181	0.78992456	0.77986276	1.5213013	-0.46431777	14.401997	0.6543717	0.33055595	1.4823902	-0.54746675	1888000	4.0605664e-06	0.22221798	0.017967217	-0.0135764545	-0.06864891	1.760031	0.009304555	0.09653125	79.0	1662.9443843364716
59	0.5948559	0.3554897	0.7766892	0.7880368	1.5134511	-0.37858862	13.806818	0.65031016	0.31081232	1.4209927	-0.56733143	1920000	5.360786e-05	0.21306357	0.017920583	-0.012872573	-0.06292548	1.7557757	0.008108353	0.09128125	79.0	1692.4206886291504
60	0.7134036	0.21790384	0.9799818	0.7060179	1.5165851	-0.42302734	15.41812	0.6758349	0.30409467	1.7344176	-0.45067263	1952000	-1.4999881e-05	0.18396509	0.017606216	-0.011535127	-0.057346202	1.7270135	0.007430205	0.07875	79.0	1721.7605991363525
